date-time,ANN3,ANN4,ANN5
15/03/2024 21:13:13,30,31,31
15/03/2024 21:13:16,29,31,30
15/03/2024 21:13:19,31,31,30
15/03/2024 21:13:21,31,29,31
15/03/2024 21:13:24,31,31,29
15/03/2024 21:13:26,30,31,31
15/03/2024 21:13:29,30,31,31
15/03/2024 21:13:31,31,31,31
15/03/2024 21:13:33,31,30,30
15/03/2024 21:13:36,31,31,29
15/03/2024 21:13:38,31,31,30
15/03/2024 21:13:40,31,30,30
15/03/2024 21:13:44,30,29,30
15/03/2024 21:13:45,31,31,29
15/03/2024 21:13:48,30,29,31
15/03/2024 21:13:52,30,30,29
15/03/2024 21:13:54,31,31,31
15/03/2024 21:13:56,30,31,29
15/03/2024 21:13:58,31,29,31
15/03/2024 21:14:00,31,31,31
15/03/2024 21:14:02,31,31,31
15/03/2024 21:14:04,30,30,29
15/03/2024 21:14:06,31,30,31
15/03/2024 21:14:08,30,30,29
15/03/2024 21:14:10,30,31,30
15/03/2024 21:14:12,31,30,30
15/03/2024 21:14:14,30,30,30
15/03/2024 21:14:15,31,30,30
15/03/2024 21:14:17,29,31,31
15/03/2024 21:14:18,30,31,31
15/03/2024 21:14:20,30,31,31
15/03/2024 21:14:21,30,30,31
15/03/2024 21:14:23,30,31,29
15/03/2024 21:14:24,30,31,31
15/03/2024 21:14:25,31,29,31
15/03/2024 21:14:27,31,31,31
15/03/2024 21:14:28,30,31,31
15/03/2024 21:14:30,31,31,30
15/03/2024 21:14:31,30,30,31
15/03/2024 21:14:33,29,31,30
15/03/2024 21:14:34,28,31,31
15/03/2024 21:14:36,30,29,31
15/03/2024 21:14:38,30,31,30
15/03/2024 21:14:40,31,31,30
15/03/2024 21:14:41,31,31,31
15/03/2024 21:14:43,31,31,31
15/03/2024 21:14:45,31,30,31
15/03/2024 21:14:47,29,30,29
15/03/2024 21:14:48,30,31,30
15/03/2024 21:14:50,31,31,28
15/03/2024 21:14:52,31,31,30
15/03/2024 21:14:55,31,29,31
15/03/2024 21:14:57,31,30,31
15/03/2024 21:14:59,29,30,30
15/03/2024 21:15:01,31,31,31
15/03/2024 21:15:03,31,29,31
15/03/2024 21:15:05,31,31,30
15/03/2024 21:15:07,31,31,31
15/03/2024 21:15:10,31,30,31
15/03/2024 21:15:11,30,31,31
15/03/2024 21:15:13,31,31,29
15/03/2024 21:15:15,30,30,30
15/03/2024 21:15:17,30,31,30
15/03/2024 21:15:19,30,31,31
15/03/2024 21:15:20,30,31,31
15/03/2024 21:15:21,29,30,29
15/03/2024 21:15:23,30,31,31
15/03/2024 21:15:24,29,31,29
15/03/2024 21:15:26,31,29,29
15/03/2024 21:15:27,30,30,30
15/03/2024 21:15:28,31,30,30
15/03/2024 21:15:30,30,31,30
